jmeno,adresa,email,tel,web
#staycool s.r.o.,"J.E.Purkynì 365, 686 06 Uherské Hradištì",,,
0-100 DENT s.r.o.,"Thákurova 534/10, 160 00 Praha 6",,,
0-100 DENT s.r.o.,"Újezd 427/28, 118 00 Praha 1",,,
1. LF Dental s.r.o.,"ZS Jaderná elektrárna Temelín, 373 05 Temelín - elektrárna",,,
1. LF Dental s.r.o.,"Senováná 864/1, 110 00 Praha 1",,,
1. zubní s.r.o.,"Prostøední Lánov 129, 543 41 Lánov",kuzel.zdenek@tiscali.cz,,
100mikro s.r.o.,"Opavská 6230/29a, 708 00 Ostrava, Poruba",,,
1A Buèovice Dent s.r.o.,"Dvorská 912, 685 01 Buèovice",,,
2 Dent s.r.o.,"Sídlištì Za Chlumem 814, 418 01 Bílina",2dentsro@gmail.com,,
2D dent s.r.o.,"Jar. Haška 1818/1, 370 04 Èeské Budìjovice",,,www.2d-dent.cz
2H dent s.r.o.,"námìstí Republiky 56, 530 02 Pardubice",,,www.2hdent.cz
2-K DENT s.r.o.,"Doubská 997, 460 06 Liberec 6",recepce@2kdent.cz,,http://www.2kdent.cz
2orto s.r.o.,"Herrmannova 593/4, 460 01 Liberec 1",,,
32 Dent s.r.o.,"Velká Hradební 3385/9, 400 01 Ústí nad Labem 1",,,
3DImplant s.r.o.,"Horáèkova 1222/5, 140 00 Praha 4",,,
"3DImplant s.r.o. -  Za pruhy 243/2, Praha 4","Za pruhy 243/2, 140 00 Praha 4",,,
3DK s.r.o.,"U zdravotního ústavu 2213/6, 100 00 Praha 10",,,
3G Dent s.r.o.,"Jindøicha Plachty 535/16, 150 00 Praha 5",,,
"3HMHK, s.r.o.","Slavíèkova 139/3, 500 03 Hradec Králové",,,
3HPHK s.r.o.,"Slavíèkova 139/3, 500 03 Hradec Králové",,,
3KDENT s.r.o.,"Morseova 251, 109 00 Praha 10",,,
7DENT s.r.o.,"Ostrovského 253/3, 150 00 Praha 5",,,
A Cappella dental s.r.o.,"Varšavská 488/23, 120 00 Praha 2",acdental@email.cz,,www.acdental.cz
"A&S Dental Clinic, spol. s r.o.","Smolenská 42/29, 101 00 Praha 10",mr.averko@seznam.cz,,www.asdentalclinic.cz
A+A Dent s.r.o.,"Hrnèíøská 197, 284 01 Kutná Hora",altjan@seznam.cz,,
A+A Dent s.r.o.,"Hrnèíøská 197, 284 01 Kutná Hora",evaaltova@seznam.cz,,
A2STOM s.r.o.,"Budeèská 2165/35, 120 00 Praha 2",,,budecska.cz
AAA-dent s.r.o.,"Karlovarská 380/17, 163 00 Praha 6",info@aaa-dent.eu,,www.aaa-dent.eu
AB Stomatologie s.r.o.,"Nádraní 706/11, 397 01 Písek",,,
"AB Zubní ordinace, s.r.o.","Vránova 1500/172, 621 00 Brno",,,
ABE Dent Lanškroun s.r.o.,"Pivovarské námìstí 561, 563 01 Lanškroun",,,
AC-DENT s.r.o.,"Nádraní 1/7, 789 85 Mohelnice",,,zdravezubymohelnice.cz
AceDental s.r.o.,"Na zátorách 613/8, 170 00 Praha 7",,,
Ad Denta s.r.o.,"Na Sadech 1864/23, 370 01 Èeské Budìjovice",,,
AD Oris Dental s.r.o.,"Stupno 181, 338 24 Bøasy",info@adorisdental.cz,,
AD4POLLUX s.r.o,"ikova 151, 436 01 Litvínov",,,
ADADENT s.r.o.,"Hegerova 373, 572 01 Polièka",s.adamec@unet.cz,,
ADADENTA PLUS s.r.o.,"Kosmická 537/2, 149 00 Praha 4",,,
Adamantina s.r.o.,"Skorkovského 2644/58, 636 00 Brno",,,
Adámková - stomatologie s.r.o.,"Librantice èp. 80, 503 46 Tøebechovice pod Orebem",,,
Adámková - stomatologie s.r.o.,"Balbínova 1260, 500 03 Hradec Králové",,,
"Addent, s.r.o.","Rybnická 51, 634 00 Brno",ordinace@addent.cz,,www.addent.cz
"Adela Dental Care, s.r.o.","Na Folimance 17, 120 00 Praha 2",,,
"Adela-dent s.r.o. - Krátká 1030/4, Plzeò","Krátká 1030/4, 301 00 Plzeò",,,
ADENTIST PRAHA s.r.o.,"Trnkovo námìstí 1112/2, 152 00 Praha 5",,,
"Adhikari Nisha, B.D.S.","Bohosudovská 378, 417 41 Krupka",,,
Adonis Dental s.r.o.,"Hamplova 1498, 277 11 Neratovice",recepce@adonisdental.cz,,www.AdonisDental.cz
Advance ORTHO s.r.o.,"Praská 135, 541 01 Trutnov - Horní Pøedmìstí",,,
AES clinic s.r.o.,"Soukalova 3355/3, 143 00 Praha 4",,,
AF Stomatologie s.r.o.,"Jahodova 2240, 580 01 Havlíèkùv Brod",,,
"AF-DENT, s.r.o.","Purkyòova 1017/22, 301 00 Plzeò",,,
AgDent s.r.o.,"Nerudova 819, 349 01 Støíbro",,,
AGEL Hornická poliklinika s.r.o.,"Sokolská tøída 2587/81, 702 00 Ostrava",,,
